Country Name,2012,2013,2014,2015,2016,2017,2018
Honduras,8640691,8798521,8955589,9112916,9270795,9429013,9587522
Heavily indebted poor countries (HIPC),660193774,679012664,698336451,718128416,738387254,759106221,780234406
Croatia,4267558,4255689,4238389,4203604,4174349,4124531,4089400
Haiti,10250930,10400673,10549008,10695542,10839970,10982366,11123176
Hungary,9920362,9893082,9866468,9843028,9814023,9787966,9768785
IBRD only,4510296617,4555067814,4599654984,4643767826,4687686335,4731120193,4772284113
IDA & IBRD total,5945148626,6022137210,6099662180,6177552865,6256138021,6335039629,6412522234
IDA total,1434852009,1467069396,1500007196,1533785039,1568451686,1603919436,1640238121
IDA blend,484720757,496066901,507644354,519429790,531399044,543525897,555830605
Indonesia,248452413,251806402,255129004,258383256,261554226,264645886,267663435
IDA only,950131252,971002495,992362842,1014355249,1037052642,1060393539,1084407516
Isle of Man,84533,83976,83488,83234,83287,83598,84077
India,1265782790,1280846129,1295604184,1310152403,1324509589,1338658835,1352617328
Not classified,,,,,,,
Ireland,4599533,4623816,4657740,4701957,4755335,4807388,4853506
"Iran, Islamic Rep.",75539862,76481943,77465753,78492215,79564016,80673951,81800269
Iraq,31890011,33157050,34411951,35572261,36610632,37552781,38433600
Iceland,320716,323764,327386,330815,335439,343400,353574
Israel,7910500,8059500,8215700,8380100,8546000,8713300,8883800
Italy,59539717,60233948,60789140,60730582,60627498,60536709,60431283
Jamaica,2842132,2858709,2875136,2891021,2906238,2920853,2934855
Jordan,8090872,8520420,8920049,9266575,9551467,9779173,9956011
Japan,127629000,127445000,127276000,127141000,126994511,126785797,126529100
Kazakhstan,16792089,17035550,17288285,17542806,17794055,18037776,18276499
Kenya,44343410,45519889,46699981,47878336,49051686,50221473,51393010
Kyrgyz Republic,5607200,5719600,5835500,5956900,6079500,6198200,6315800
Cambodia,14780454,15026332,15274503,15521436,15766293,16009414,16249798
Kiribati,106370,107890,109391,110930,112524,114158,115847
St. Kitts and Nevis,49887,50331,50774,51203,51625,52045,52441
"Korea, Rep.",50199853,50428893,50746659,51014947,51245707,51466201,51635256
Kuwait,3348853,3526378,3690942,3835591,3956873,4056097,4137309
Latin America & Caribbean (excluding high income),572713225,579053861,585296422,591416820,597399287,603254104,609013934
Lao PDR,6444530,6541304,6639756,6741164,6845846,6953035,7061507
Lebanon,5538634,5914621,6262410,6532678,6711121,6811873,6848925
Liberia,4135659,4248334,4359505,4472230,4586788,4702228,4818977
Libya,6285750,6320359,6362037,6418315,6492164,6580724,6678567
St. Lucia,176646,177513,178296,179126,180024,180955,181889
Latin America & Caribbean,603586217,610151927,616619613,622986033,629240066,635372515,641357515
Least developed countries: UN classification,876869863,897797478,919226401,941131317,963511276,986365080,1009662578
Low income,606913332,621915808,637350644,653405207,670117389,687449530,705417321
Liechtenstein,36615,36934,37223,37470,37658,37800,37910
Sri Lanka,20425000,20585000,20778000,20970000,21203000,21444000,21670000
Lower middle income,2772231195,2814221065,2856124025,2898058449,2939830821,2981420591,3022905169
Low & middle income,5916770281,5993786433,6071330528,6149221337,6227752871,6306560891,6383958209
Lesotho,2014990,2028519,2043437,2059021,2075001,2091412,2108132
Late-demographic dividend,2207632770,2220999087,2234568586,2248128427,2262158994,2276319334,2288665963
Lithuania,2987773,2957689,2932367,2904910,2868231,2828403,2789533
Luxembourg,530946,543360,556319,569604,582014,596336,607728
Latvia,2034319,2012647,1993782,1977527,1959537,1942248,1926542
"Macao SAR, China",564039,577372,590208,602085,612836,622585,631636
St. Martin (French part),37009,36453,36015,35858,36065,36560,37264
Morocco,33241898,33715693,34192347,34663603,35126296,35581294,36029138
Monaco,36460,36901,37322,37718,38070,38392,38682
Moldova,3559519,3558566,3556397,3554108,3551954,3549196,3545883
Madagascar,22346641,22961253,23589887,24234088,24894380,25570540,26262368
Maldives,397237,415593,435015,454915,475513,496402,515696
Middle East & North Africa,401974219,409977874,417932242,425821770,433597626,441255234,448912859
Mexico,117274155,118827161,120355128,121858258,123333376,124777324,126190788
Marshall Islands,56717,56938,57179,57439,57735,58058,58413
Middle income,5309856949,5371870625,5433979884,5495816130,5557635482,5619111361,5678540888
North Macedonia,2074278,2076067,2077775,2079328,2080745,2081996,2082958
Mali,15979499,16449864,16934220,17438778,17965429,18512394,19077690
Malta,420028,425967,434558,445053,455356,467999,483530
Myanmar,51413698,51852451,52280807,52680726,53045226,53382581,53708395
Middle East & North Africa (excluding high income),345004009,351299193,357637340,363975550,370276461,376546755,382896715
Montenegro,620601,621207,621810,622159,622303,622373,622345
Mongolia,2824699,2881792,2940108,2998439,3056359,3113779,3170208
Northern Mariana Islands,54311,54784,55305,55780,56188,56562,56882
Mozambique,24862648,25560725,26286163,27042002,27829942,28649007,29495962
Mauritania,3706554,3817494,3930896,4046301,4163534,4282574,4403319
Mauritius,1255882,1258653,1260934,1262605,1263473,1264613,1265303
Malawi,15396005,15839269,16289540,16745303,17205289,17670260,18143315
Malaysia,29068159,29468872,29866559,30270962,30684804,31105028,31528585
North America,348653238,351205682,353888995,356510820,359245384,361751263,364290258
Namibia,2194784,2233510,2273430,2314904,2358041,2402603,2448255
New Caledonia,259000,263650,268050,272400,276550,280350,284060
Niger,17795191,18504255,19240157,20001663,20788838,21602472,22442948
Nigeria,167228767,171765769,176404902,181137448,185960289,190873311,195874740
Nicaragua,5982526,6062454,6142733,6223240,6303974,6384855,6465513
Netherlands,16754962,16804432,16865008,16939923,17030314,17131296,17231017
Norway,5018573,5079623,5137232,5188607,5234519,5276968,5314336
Nepal,26989862,26917906,26906926,27015031,27261131,27627124,28087871
Nauru,10279,10821,11853,12475,13049,12876,12704
New Zealand,4408100,4442100,4509700,4595700,4693200,4793900,4885500
OECD members,1256042703,1263987635,1272282569,1280466626,1288747101,1296225760,1303529456
Oman,3498029,3764805,4027260,4267348,4479219,4665935,4829483
Other small states,27227319,27794595,28364410,28948869,29542879,30148800,30758989
Pakistan,187281475,191262919,195306825,199426964,203627284,207896686,212215030
Panama,3770624,3835437,3901315,3968487,4037078,4106771,4176873
Peru,29506788,29773987,30090359,30470734,30926032,31444297,31989256
Philippines,97212638,98871552,100513138,102113212,103663927,105173264,106651922
Palau,17640,17606,17626,17665,17725,17808,17907
Papua New Guinea,7631002,7788379,7946731,8107775,8271760,8438029,8606316
